Местное время в Москве (центр, Балчуг);T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
27.12.2021 12:00;-11.0;749.0;761.2;;74;Ветер, дующий с запада;1;;;20–30%.; ;;;;;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;20–30%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;10.0;-14.8;;;;;;
27.12.2021 9:00;-11.2;748.0;760.3;;76;Ветер, дующий с запада;2;;;100%.; ;;;-11.9;;Слоисто-кучевые, образовавшиеся не из кучевых.;90  или более, но не 100%;600-1000;Высокослоистые непросвечивающие или слоисто-дождевые.;;10.0;-14.7;Осадков нет;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;26.0
27.12.2021 6:00;-11.2;746.2;758.4;;75;Ветер, дующий с запада;2;;;100%.; ;;;-11.9;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;600-1000;;;10.0;-14.8;1.0;12;;;;
27.12.2021 3:00;-11.8;745.0;757.2;;74;Ветер, дующий с запада;2;;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;600-1000;;;10.0;-15.6;;;;;;
27.12.2021 0:00;-10.9;743.2;755.3;;69;Ветер, дующий с запада;3;;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;600-1000;;;10.0;-15.6;;;;;;
26.12.2021 21:00;-9.7;740.3;752.3;;62;Ветер, дующий с западо-северо-запада;4;;12;40%.;Снег неливневый. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;-5.5;Слоисто-кучевые, образовавшиеся не из кучевых.;40%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;10.0;-15.6;2.0;12;;;;
26.12.2021 18:00;-5.6;736.2;748.0;;85;Ветер, дующий с запада;1;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;300-600;Высокослоистые непросвечивающие или слоисто-дождевые.;;4.0;-7.7;0.8;12;;;;
26.12.2021 15:00;-6.0;735.9;747.7;;80;Ветер, дующий с юго-юго-запада;1;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевые, образовавшиеся не из кучевых.;70 – 80%.;300-600;Высокослоистые непросвечивающие или слоисто-дождевые.;;4.0;-9.0;;;;;;
26.12.2021 12:00;-6.6;737.2;749.1;;79;Ветер, дующий с западо-юго-запада;1;;;100%.;Снег с перерывами слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;300-600;Высокослоистые непросвечивающие или слоисто-дождевые.;;4.0;-9.7;;;;;;
26.12.2021 9:00;-7.2;737.9;749.8;;81;Ветер, дующий с западо-юго-запада;1;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;-10.8;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;600-1000;;;4.0;-10.0;0.2;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;29.0
26.12.2021 6:00;-8.7;738.2;750.1;;82;Ветер, дующий с юго-юго-запада;1;;;Облаков нет.; ;;;-10.8;;;;;;;10.0;-11.3;Осадков нет;12;;;;
26.12.2021 3:00;-10.3;739.0;751.1;;78;Ветер, дующий с западо-юго-запада;1;;;Облаков нет.; ;;;;;;;;;;10.0;-13.4;;;;;;
26.12.2021 0:00;-10.6;738.7;750.7;;73;Ветер, дующий с запада;2;;11;40%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;40%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;10.0;-14.6;;;;;;
25.12.2021 21:00;-10.4;737.2;749.2;;73;Ветер, дующий с запада;3;;10;100%.; ;;;;-7.0;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;1000-1500;;;10.0;-14.4;2.0;12;;;;
25.12.2021 18:00;-8.8;735.1;746.9;;73;Ветер, дующий с запада;2;10;10;70 – 80%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;50%.;1000-1500;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;10.0;-12.8;3.0;12;;;;
25.12.2021 15:00;-7.5;731.9;743.7;;75;Ветер, дующий с запада;2;;;60%.;Снег неливневый. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;60%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;10.0;-11.3;;;;;;
25.12.2021 12:00;-7.8;730.0;741.8;;86;Штиль, безветрие;0;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;4.0;-9.8;;;;;;
25.12.2021 9:00;-10.7;731.0;742.9;;88;Ветер, дующий с востоко-юго-востока;1;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;-12.9;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;300-600;Высокослоистые непросвечивающие или слоисто-дождевые.;;4.0;-12.3;4.0;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;29.0
25.12.2021 6:00;-12.0;732.9;744.9;;87;Ветер, дующий с востоко-юго-востока;1;;;100%.;Снег с перерывами слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;-12.9;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;300-600;Высокослоистые непросвечивающие или слоисто-дождевые.;;4.0;-13.7;3.0;12;;;;
25.12.2021 3:00;-12.7;736.0;748.1;;83;Ветер, дующий с юго-востока;1;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;300-600;Высокослоистые непросвечивающие или слоисто-дождевые.;;4.0;-15.0;;;;;;
25.12.2021 0:00;-12.4;738.6;750.7;;80;Ветер, дующий с юго-юго-востока;1;;;100%.;Снег с перерывами слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;4.0;-15.1;;;;;;
24.12.2021 21:00;-10.1;740.5;752.6;;73;Ветер, дующий с юго-востока;1;;;100%.; ;;;;-7.9;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;10.0;-14.1;0.5;12;;;;
24.12.2021 18:00;-8.5;741.6;753.6;;74;Ветер, дующий с юга;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;10.0;-12.4;0.5;12;;;;
24.12.2021 15:00;-8.2;742.3;754.3;;73;Ветер, дующий с юга;1;;;100%.;Состояние неба в общем не изменилось. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;600-1000;;;10.0;-12.2;;;;;;
24.12.2021 12:00;-8.5;743.1;755.2;;73;Ветер, дующий с западо-юго-запада;1;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;600-1000;;;4.0;-12.5;;;;;;
24.12.2021 9:00;-9.6;743.5;755.6;;76;Ветер, дующий с западо-юго-запада;1;;;100%.; ;;;-11.2;;Слоисто-кучевые, образовавшиеся не из кучевых.;70 – 80%.;1000-1500;Высокослоистые непросвечивающие или слоисто-дождевые.;;10.0;-13.1;Осадков нет;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;22.0
24.12.2021 6:00;-10.4;744.4;756.6;;78;Ветер, дующий с юго-юго-запада;1;;;100%.; ;;;-11.2;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;10.0;-13.6;Осадков нет;12;;;;
24.12.2021 0:00;-10.9;746.3;758.5;;76;Ветер, дующий с западо-юго-запада;1;;;Облаков нет.; ;;;;;;;;;;10.0;-14.3;;;;;;
23.12.2021 21:00;-10.5;747.4;759.5;;75;Ветер, дующий с запада;1;;;70 – 80%.; ;;;;-9.3;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;40%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;10.0;-14.2;Осадков нет;12;;;;
23.12.2021 18:00;-10.1;748.3;760.5;;75;Ветер, дующий с запада;1;;;90  или более, но не 100%; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;10.0;-13.8;Осадков нет;12;;;;
23.12.2021 15:00;-9.3;748.3;760.5;;68;Ветер, дующий с запада;2;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;10.0;-14.2;;;;;;
23.12.2021 12:00;-10.9;749.1;761.3;;73;Ветер, дующий с запада;2;;;90  или более, но не 100%; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;10.0;-14.9;;;;;;
23.12.2021 9:00;-12.5;749.2;761.5;;80;Ветер, дующий с запада;2;;;100%.; ;;;-19.9;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;10.0;-15.3;Осадков нет;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;23.0
23.12.2021 6:00;-15.3;749.2;761.7;;79;Ветер, дующий с запада;2;;;100%.; ;;;-20.1;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;600-1000;;;10.0;-18.2;Осадков нет;12;;;;
23.12.2021 3:00;-18.2;749.8;762.4;;78;Ветер, дующий с западо-северо-запада;1;;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;600-1000;;;10.0;-21.1;;;;;;
23.12.2021 0:00;-19.4;750.0;762.7;;77;Ветер, дующий с западо-северо-запада;2;;;40%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;40%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;10.0;-22.4;;;;;;
22.12.2021 21:00;-19.9;749.9;762.6;;74;Ветер, дующий с запада;2;;;Облаков нет.; ;;;;-18.1;;;;;;10.0;-23.4;Осадков нет;12;;;;
22.12.2021 18:00;-19.9;749.8;762.4;;70;Ветер, дующий с западо-северо-запада;2;;;Облаков нет.; ;;;;;;;;;;10.0;-24.0;Осадков нет;12;;;;
22.12.2021 15:00;-19.2;748.7;761.4;;68;Ветер, дующий с северо-запада;2;;;60%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;60%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;10.0;-23.6;;;;;;
22.12.2021 12:00;-18.9;748.2;760.8;;73;Ветер, дующий с северо-запада;1;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.;10.0;-22.5;;;;;;
22.12.2021 9:00;-19.3;747.9;760.5;;76;Ветер, дующий с западо-северо-запада;2;;;60%.; ;;;-19.6;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";10.0;-22.5;Осадков нет;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;23.0
22.12.2021 6:00;-19.4;747.5;760.2;;77;Ветер, дующий с западо-северо-запада;1;;;90  или более, но не 100%; ;;;-19.6;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;10.0;-22.4;0.3;12;;;;
22.12.2021 3:00;-18.6;747.4;760.0;;77;Ветер, дующий с западо-северо-запада;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;10.0;-21.7;;;;;;
22.12.2021 0:00;-18.4;747.2;759.8;;72;Ветер, дующий с северо-запада;2;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;10.0;-22.2;;;;;;
21.12.2021 21:00;-17.6;746.7;759.2;;75;Ветер, дующий с северо-запада;2;;;100%.;Состояние неба в общем не изменилось. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;-15.0;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;10.0;-21.0;0.9;12;;;;
